Unnamed: 0,drugName,condition,review,rating,date,usefulCount
101235,Levonorgestrel,Birth Control,"I used this as an emergency contraceptive. I experienced some moderate cramping and my next cycle was a bit late, but it did its job perfectly. No pregnancy!",10.0,05-Aug-10,5
119384,Gabapentin,Fibromyalgia,"Helps mitigate the burning nerve pain slightly, but the brain fog and memory issues make it difficult to perform complex tasks at my job.",5.0,05-Jan-17,16
108392,Topiramate,Migraine Prevention,"Reduced my migraines from 15 a month down to 2. However, the Topamax tingle in my fingers and forgetting common words is highly frustrating.",6.0,03-Sep-16,38
164920,Omeprazole,GERD,Took it daily for my severe acid reflux. It healed my esophagus completely within a month. No more waking up choking on stomach acid.,10.0,25-May-12,24
152431,Doxycycline,Acne,"Purged heavily during weeks 2 to 4, which was discouraging. By week 8, my cystic acne completely cleared up. Keep using sunscreen!",9.0,22-Jun-15,33
159672,Buprenorphine / naloxone,Opiate Dependence,"Suboxone saved my life, plain and simple. Been clean for two years now. The taper process requires patience, but it works if you follow the program strictly.",9.0,20-Jan-16,35
105432,Clonazepam,Anxiety,Excellent for stopping a panic attack dead in its tracks. I only use it sparingly asneeded because I am highly aware of the dependency risks.,9.0,18-Dec-14,62
192048,Isotretinoin,Acne,"Accutane is a brutal drug. My lips cracked and bled, and my skin peeled constantly. But 6 months later, my skin is completely flawless. Worth the pain.",9.0,17-Dec-13,85
112930,Sertraline,Panic Disorder,"Zoloft worked wonders for my panic attacks, but the sexual side effects became too much to handle after a few months. Switched to something else.",4.0,12-May-14,19
177482,Bupropion,Depression,Wellbutrin gave me my energy back. I no longer feel trapped under a heavy blanket. Zero weight gain and no sexual side effects for me.,10.0,11-Nov-13,41
183921,Varenicline,Smoking Cessation,"Day 45 smokefree thanks to Chantix. The vivid dreams are wild and sometimes disturbing, but it completely killed the psychological urge to light up.",9.0,14-Feb-15,50
194827,Liraglutide,Obesity,"Lost 15 pounds in my first month on Saxenda. Appetite suppression is incredible. Main issue is slight constant nausea, but drinking water helps.",8.0,04-Mar-16,21
138472,Phentermine,Weight Loss,Incredible burst of energy and zero appetite. Lost 22 lbs in two months. Downside is a racing heart rate and severe dry mouth. Drink lots of water.,7.0,14-Oct-14,29
210394,Ciprofloxacin,Urinary Tract Infection,"Cleared up my severe UTI within 48 hours. However, the nausea and stomach upset were quite severe. Make sure you eat a heavy meal before taking it.",6.0,23-Nov-11,11
